character,korean_name,korean_meaning,korean_sound
丸,둥글 환,둥글,환
久,오랠 구,오래다,구
乗,탈 승,타다,승
仮,거짓 가,거짓,가
供,이바지할 공,이바지하다,공
価,값 가,값,가
値,값 치,값,치
傷,상처 상,상처,상
凄,쓸쓸할 처,쓸쓸하다,처
則,법칙 칙,법칙,칙
剤,약제 제,약제,제
割,나눌 할,나누다,할
勘,헤아릴 감,헤아리다,감
匿,숨길 닉,숨기다,닉
卑,낮을 비,낮다,비
却,물리칠 각,물리치다,각
史,역사 사,역사,사
呼,부를 호,부르다,호
問,물을 문,묻다,문
堅,굳을 견,굳다,견
売,팔 매,팔다,매
夢,꿈 몽,꿈,몽
夥,많을 과,많다,과
奢,사치할 사,사치하다,사
少,적을 소,적다,소
己,몸 기,몸,기
引,끌 인,끌다,인
役,부릴 역,부리다,역
忘,잊을 망,잊다,망
思,생각 사,생각,사
愚,어리석을 우,어리석다,우
戻,어그러질 려,어그러지다,려
択,가릴 택,가리다,택
押,누를 압,누르다,압
搭,탈 탑,타다,탑
摘,딸 적,따다,적
晶,맑을 정,맑다,정
替,바꿀 체,바꾸다,체
枠,테두리 광,테두리,광
染,물들일 염,물들이다,염
次,버금 차,버금,차
毒,독 독,독,독
汚,더러울 오,더럽다,오
派,갈래 파,갈래,파
浅,얕을 천,얕다,천
深,깊을 심,깊다,심
渉,건널 섭,건너다,섭
渋,떫을 삽,떫다,삽
渡,건널 도,건너다,도
潮,조수 조,조수,조
番,차례 번,차례,번
疲,피곤할 피,피곤하다,피
症,증세 증,증세,증
看,볼 간,보다,간
瞭,밝을 료,밝다,료
稽,상고할 계,상고하다,계
穏,평온할 온,평온하다,온
管,대롱 관,대롱,관
簿,문서 부,문서,부
系,이을 계,잇다,계
組,짤 조,짜다,조
罪,허물 죄,허물,죄
胞,태보 포,태보,포
臆,가슴 억,가슴,억
臭,냄새 취,냄새,취
舞,춤출 무,춤추다,무
薬,약 약,약,약
訳,번역할 역,번역하다,역
詰,물을 힐,묻다,힐
誌,기록할 지,기록하다,지
請,청할 청,청하다,청
超,뛰어넘을 초,뛰어넘다,초
身,몸 신,몸,신
込,담을 입,담다,입
辿,천천히 걸을 천,천천히 걷다,천
違,어긋날 위,어긋나다,위
遥,멀 요,멀다,요
鋭,날카로울 예,날카롭다,예
際,즈음 제,즈음,제
雪,눈 설,눈,설
音,소리 음,소리,음
頼,의뢰할 뢰,의뢰하다,뢰
顧,돌아볼 고,돌아보다,고
飲,마실 음,마시다,음
馬,말 마,말,마
馴,길들일 순,길들이다,순
鮮,고울 선,곱다,선
鹿,사슴 록,사슴,록
