word,reading_hiragana,meaning_ko,source_title,source_author,source_url,matched_sentence
ぶらぶら,ぶらぶら,빈둥빈둥 어슬렁어슬렁,走れメロス,太宰治,https://www.aozora.gr.jp/cards/000035/files/1567_ruby_4948.zip,先ず、その品々を買い集め、それから都の大路をぶらぶら歩いた。
ぶらぶら,ぶらぶら,빈둥빈둥 어슬렁어슬렁,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,それでも私はさほどの窮屈を感じなかったので、ぶらぶらいっしょに歩いて行った。
ぼろぼろ,ぼろぼろ,너덜너덜 엉망진창,銀河鉄道の夜,宮沢賢治,https://www.aozora.gr.jp/cards/000081/files/48222_ruby_59603.zip,それは、茶いろの少しぼろぼろの外套を着て、白い巾でつつんだ荷物を、二つに分けて肩に掛けた、赤髯のせなかのかがんだ人でした。
ぼろぼろ,ぼろぼろ,너덜너덜 엉망진창,人間失格,太宰治,https://www.aozora.gr.jp/cards/000035/files/301_ruby_5915.zip,自分の顔の表情は極度にいやしくなり、朝から焼酎を飲み、歯がぼろぼろに欠けて、漫画もほとんど猥画に近いものを画くようになりました。
まごまご,まごまご,허둥지둥 우물쭈물,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,慣れない兄は起ってまごまごしていた。
まるっきり,まるっきり,완전히 전혀,人間失格,太宰治,https://www.aozora.gr.jp/cards/000035/files/301_ruby_5915.zip,ああ、人間は、お互い何も相手をわからない、まるっきり間違って見ていながら、無二の親友のつもりでいて、一生、それに気附かず、相手が死ねば、泣いて弔詞なんかを読んでいるのではないでしょうか。
みすぼらしい,みすぼらしい,초라하다 볼품없다,人間失格,太宰治,https://www.aozora.gr.jp/cards/000035/files/301_ruby_5915.zip,所謂俗物の眼から見ると、ツネ子は酔漢のキスにも価いしない、ただ、みすぼらしい、貧乏くさい女だったのでした。
めいめい,めいめい,각자 제각기,走れメロス,太宰治,https://www.aozora.gr.jp/cards/000035/files/1567_ruby_4948.zip,祝宴に列席していた村人たちは、何か不吉なものを感じたが、それでも、めいめい気持を引きたて、狭い家の中で、むんむん蒸し暑いのも怺え、陽気に歌をうたい、手を拍った。
めいめい,めいめい,각자 제각기,銀河鉄道の夜,宮沢賢治,https://www.aozora.gr.jp/cards/000081/files/48222_ruby_59603.zip,十字になった町のかどを、まがらうとしましたら、向ふの橋へ行く方の雑貨店の前で、黒い影やぼんやり白いシャツが入り乱れて、六七人の生徒らが、口笛を吹いたり笑ったりして、めいめい烏瓜の燈火を持ってやって来るのを見ました。
ややこしい,ややこしい,복잡하다 까다롭다,人間失格,太宰治,https://www.aozora.gr.jp/cards/000035/files/301_ruby_5915.zip,ややこしい切れめやな。
