example_id,word,example_jp,example_ko
2132,あっさり,あたりまえならば、なんとかかとか必ず苦情の持ち上がるべき英国風の小やかましい検疫もあっさり済んで放蕩者らしい血気盛りな検疫官は、船に来てから二時間そこそこできげんよく帰って行く事になった。,"당연하다면, 어떻게든 든든 꼭 불만의 들려야 할 영국풍의 섬뜩한 검역도 깨끗이 끝나 방탕자다운 혈기성한 검역관은, 배에 온 후 2시간 거기 힘들게 돌아가게 되었다."
2133,うっとり,化粧をすました葉子は長椅子にゆっくり腰をかけて、両足をまっすぐにそろえて長々と延ばしたまま、うっとりと思うともなく事務長の事を思っていた。,"화장을 훑어본 하코는 긴 의자에 천천히 허리를 걸고, 양 다리를 똑바로 갖추어 오랫동안 뻗은 채, 촉촉하게 생각하지 않고 사무장의 일을 생각하고 있었다."
2134,がっくり,そしてにやりとしながらがっくりと顔を上向きにはねて、床の間の一蝶のひどい偽い物を見やっていた。,그리고 가볍게 얼굴을 위쪽으로 튀기고 바닥 사이의 나비의 끔찍한 가짜를 보았다.
2135,がっしり,五十川女史が四角を思い出させるような頑丈な骨組みで、がっしりと正座に居直って、葉子を子供あしらいにしようとするのを見て取ると、葉子の心は逸り熱した。,"이토카와 여사가 사각을 생각나게 하는 튼튼한 골조로, 탄탄하게 정좌에 다시 고치고, 하자를 아이 다루려고 하는 것을 보고 잡자, 하코의 마음은 뜨거웠다."
2136,きっぱり,そして日ごろの柔和に似ず、傷ついた牡牛のように元どおりの生活を回復しようとひしめく良人や、中にはいっていろいろ言いなそうとした親類たちの言葉を、きっぱりとしりぞけてしまって、良人を釘店のだだっ広い住宅にたった一人残したまま、葉子ともに三人の娘を連れて、親佐は仙台に立ちのいてしまった。,"그리고 평소의 유화와 닮지 않고, 상처받은 황소처럼 원래의 생활을 회복하려고 노력하는 양인이나, 안에는 여러가지 말하지 않으려는 친척들의 말을 , 확실히 쫓아 버려, 양인을 못 가게의 단지 넓은 주택에 단 한 명 남긴 채, 하코 모두 세 명의 딸을 데리고, 친령은 센다이에 서서 버렸다."
2137,しとやかな,愛子がいつものように素直に立ち上がって、洟をすすりながら黙って床を取っている間に、葉子はおりおり往来のほうから振り返って、愛子のしとやかな足音や、綿を薄く入れた夏ぶとんの畳に触れるささやかな音を見入りでもするようにそのほうに目を定めた。,"아이코가 언제나처럼 솔직하게 일어서서, 사치를 미끄러지면서 침묵을 마루를 취하고 있는 사이에, 하코는 감싸고 왕래 쪽으로부터 되돌아보며, 아이코의 부드러운 발소리나, 면을 얇게 넣은 여름 튀김의 다다미에 접하는 사소한 소리를 보아도 하는 것처럼 눈을"
2138,しなやかな,その興奮してぶるぶる震えるしなやかな手を葉子は手欄ごとじっと押えた。,그 흥분하고 빙빙 떨리는 유연한 손을 하코는 수란마다 가만히 밀었다.
2139,しんなり,ちゃんとお写真をお飾りなすって、おやさしゅうござんすわね」葉子はしんなりと立ち上がってその写真の前に行った。,"제대로 사진을 장식하고, 굉장히 굉장한 느낌이네요. 하코는 순조롭게 일어서 그 사진 앞에 갔다."
2140,じめじめ,時雨らしく照ったり降ったりしていた雨の脚も、やがてじめじめと降り続いて、煮しめたようなきたない部屋の中は、ことさら湿りが強く来るように思えた。,"때 비 답게 빛나거나 내리던 비 다리도 곧 조용히 내려가고, 끓인 것 같은 끔찍한 방안은 말도 습기가 강하게 오는 것 같았다."
2141,せかせかと,そしてせかせかとあたりを見回したが、あわてながら眼窓のカーテンをしめきった。,"그리고 せせせか 근처를 둘러 보았지만, 맞대면서 안창의 커튼을 다듬었다."
2142,そわそわ,少し怪訝そうに葉子のいつになくそわそわした様子を見守る青年をそこに捨ておいたまま葉子は険しく細い階子段を降りた。,조금 괴물 그렇게 하코의 언제 없이 꺾인 모습을 지켜보는 청년을 거기에 버려둔 채 하코는 험하게 가는 층계단을 내렸다.
2143,たやすい,始めて遠い航海を試みる葉子にしては、それが不思議なくらいたやすい旅だった。,"시작해 먼 항해를 시도하는 하코로 해서는, 그것이 신기해지기 쉬운 여행이었다."
2144,だぶだぶ,だぶだぶのズボン一つで、節くれ立った厚みのある毛胸に一糸もつけない大男は、やおら人中から立ち上がると、ずかずか葉子に突きあたらんばかりにすれ違って、すれ違いざまに葉子の顔を孔のあくほどにらみつけて、聞くにたえない雑言を高々とののしって、自分の群れを笑わした。,"어리석은 바지 하나로, 쑥쑥 두꺼운 머리가있는 가슴에 한 실도 붙지 않는 큰 남자는 야오라 사람 중에서 일어나면 즈카즈카 하코에 찔러 찔러서 엇갈리고, 엇갈려 하마코의 얼굴을 구멍이 뚫을 정도로 들여다보고, 듣기에 어려움을 들었다."
2145,つくづく,そしてつくづく自分の心の変わりかたの激しさに驚かずにはいられなかった。,그리고 이어지는 자신의 마음의 변화의 격렬함에 놀라지 않고 있을 수 없었다.
2146,てっきり,「戸もあけてくれずに……」との岡の言葉から、てっきり鍵がかかっていると思っていた葉子にはそれが意外でもあり、あたりまえにも思えた。,「문도 열어주지 않고…
2147,はかない,白紙のようなはかない寂しさと、「裸になるならきれいさっぱり裸になって見せよう」という火のような反抗心とが、むちゃくちゃに葉子の胸を冷やしたり焼いたりした。,백지와 같은 쓸모 없는 외로움과 '알몸이 되면 예쁘게 깔끔하게 알몸이 되어 보여보자'는 불 같은 반항심이 엉망으로 하자의 가슴을 식히거나 굽거나 했다.
2148,ふらふら,葉子は思わずふらふらッと立ち上がろうとするのを、何気ない顔でじっとこらえた。,"하코는 무심코 흔들쭉하게 일어나려고 하는 것을, 아무렇지도 않은 얼굴로 가만히 참았다."
