word,example_jp,example_ko,source
ぶらぶら,休日だからといって一日中ぶらぶらしていては、やるべきことが片付かない。,휴일이라고 해서 하루 종일 빈둥거리면 해야 할 일이 정리되지 않는다.,pd_guided:青空文庫:走れメロス:太宰治
ぼろぼろ,長年使い込んだ鞄はぼろぼろだったが、彼にとっては思い出の品だった。,오랫동안 써 온 가방은 너덜너덜했지만 그에게는 추억의 물건이었다.,pd_guided:青空文庫:銀河鉄道の夜:宮沢賢治
まごまご,突然意見を求められ、彼はまごまごして的確に答えられなかった。,갑자기 의견을 요구받아 그는 우물쭈물하며 정확히 답하지 못했다.,pd_guided:青空文庫:こころ:夏目漱石
まるっきり,彼の説明は事実とまるっきり違っていたため、再調査が必要になった。,그의 설명은 사실과 완전히 달라 재조사가 필요해졌다.,pd_guided:青空文庫:人間失格:太宰治
みすぼらしい,建物はみすぼらしい外観だったが、中には貴重な資料が保管されていた。,건물은 초라한 외관이었지만 안에는 귀중한 자료가 보관되어 있었다.,pd_guided:青空文庫:人間失格:太宰治
めいめい,参加者はめいめい資料を確認し、自分の担当箇所について意見を述べた。,참가자는 각자 자료를 확인하고 자기 담당 부분에 대해 의견을 말했다.,pd_guided:青空文庫:走れメロス:太宰治
ややこしい,契約条件がややこしいため、専門家に確認してから署名した方がよい。,계약 조건이 복잡하므로 전문가에게 확인한 뒤 서명하는 편이 좋다.,pd_guided:青空文庫:人間失格:太宰治
ろくな,準備を怠ったままでは、ろくな結果は期待できない。,준비를 게을리한 채로는 제대로 된 결과를 기대할 수 없다.,pd_guided:青空文庫:人間失格:太宰治
一変,新しい証拠が出たことで、事件に対する世論は一変した。,새로운 증거가 나오면서 사건에 대한 여론은 완전히 바뀌었다.,pd_guided:青空文庫:人間失格:太宰治
一心に,彼女は周囲の雑音に惑わされず、一心に研究を続けた。,그녀는 주변의 잡음에 흔들리지 않고 한마음으로 연구를 계속했다.,pd_guided:青空文庫:こころ:夏目漱石
一挙に,制度改革によって、長年の課題が一挙に解決するとは限らない。,제도 개혁으로 오랜 과제가 단번에 해결된다고는 할 수 없다.,pd_guided:青空文庫:走れメロス:太宰治
一様に,調査結果に対して、専門家たちは一様に慎重な見方を示した。,조사 결과에 대해 전문가들은 한결같이 신중한 견해를 보였다.,pd_guided:青空文庫:こころ:夏目漱石
一気に,発表をきっかけに、その企業の知名度は一気に高まった。,발표를 계기로 그 기업의 인지도는 단숨에 높아졌다.,pd_guided:青空文庫:走れメロス:太宰治
一身上,彼は一身上の都合により、今月末で退職することになった。,그는 개인 사정으로 이번 달 말에 퇴직하게 되었다.,pd_guided:青空文庫:坊っちゃん:夏目漱石
一部分,全体を理解せずに一部分だけを批判しても、議論は深まらない。,전체를 이해하지 않고 일부분만 비판해도 논의는 깊어지지 않는다.,pd_guided:青空文庫:こころ:夏目漱石
三味線,祖母は若い頃に習った三味線を、今でも時々弾いている。,할머니는 젊을 때 배운 샤미센을 지금도 가끔 연주한다.,pd_guided:青空文庫:坊っちゃん:夏目漱石
上司,上司の判断を待つだけでなく、自分なりの案を用意すべきだ。,상사의 판단만 기다리지 말고 자기 나름의 안을 준비해야 한다.,pd_guided:青空文庫:人間失格:太宰治
上陸,台風が上陸する恐れがあるため、自治体は早めの避難を呼びかけた。,태풍이 상륙할 우려가 있어 지자체는 이른 피난을 호소했다.,pd_guided:青空文庫:こころ:夏目漱石
下痢,慣れない食事が原因で下痢になり、予定を変更せざるを得なかった。,익숙하지 않은 음식 때문에 설사가 나서 일정을 바꿀 수밖에 없었다.,pd_guided:青空文庫:人間失格:太宰治
不吉な,その知らせを聞いた瞬間、彼は不吉な予感に襲われた。,그 소식을 들은 순간 그는 불길한 예감에 사로잡혔다.,pd_guided:青空文庫:走れメロス:太宰治
不意,不意に質問されても答えられるよう、資料を十分に読み込んでおく。,갑자기 질문받아도 답할 수 있도록 자료를 충분히 읽어 둔다.,pd_guided:青空文庫:羅生門:芥川龍之介
不慮,不慮の事故に備えて、連絡体制を整えておく必要がある。,뜻밖의 사고에 대비해 연락 체계를 정비해 둘 필요가 있다.,pd_guided:青空文庫:こころ:夏目漱石
世辞,彼の褒め言葉は世辞ではなく、本心からの評価だった。,그의 칭찬은 아첨이 아니라 진심 어린 평가였다.,pd_guided:青空文庫:坊っちゃん:夏目漱石
丘,丘の上から見ると、町の変化が一目で分かった。,언덕 위에서 보니 마을의 변화가 한눈에 보였다.,pd_guided:青空文庫:こころ:夏目漱石
中毒,便利さに慣れすぎると、情報端末の中毒に近い状態になりかねない。,편리함에 너무 익숙해지면 정보 기기 중독에 가까운 상태가 될 수 있다.,pd_guided:青空文庫:人間失格:太宰治
中腹,登山道の中腹で休憩を取り、天候の変化を確認した。,등산로 중턱에서 휴식을 취하고 날씨 변화를 확인했다.,pd_guided:青空文庫:坊っちゃん:夏目漱石
主人公,この小説の主人公は、社会の矛盾に直面して成長していく。,이 소설의 주인공은 사회의 모순에 직면하며 성장해 간다.,pd_guided:青空文庫:坊っちゃん:夏目漱石
主任,主任は新人の意見にも耳を傾け、計画を柔軟に修正した。,주임은 신입의 의견에도 귀를 기울여 계획을 유연하게 수정했다.,pd_guided:青空文庫:こころ:夏目漱石
主観,主観だけで判断すると、事実を見誤る恐れがある。,주관만으로 판단하면 사실을 잘못 볼 우려가 있다.,pd_guided:青空文庫:人間失格:太宰治
乏しい,経験が乏しいからこそ、彼は誰よりも慎重に準備を重ねた。,경험이 부족하기 때문에 그는 누구보다 신중히 준비를 거듭했다.,pd_guided:青空文庫:こころ:夏目漱石
予想,専門家の予想に反して、景気は緩やかに回復し始めた。,전문가의 예상과 달리 경기는 완만히 회복되기 시작했다.,pd_guided:青空文庫:こころ:夏目漱石
予感,会場に入った瞬間、彼は計画が失敗する予感を覚えた。,회장에 들어선 순간 그는 계획이 실패할 예감을 느꼈다.,pd_guided:青空文庫:こころ:夏目漱石
予言,彼の発言は単なる予言ではなく、緻密な分析に基づいていた。,그의 발언은 단순한 예언이 아니라 치밀한 분석에 근거하고 있었다.,pd_guided:青空文庫:こころ:夏目漱石
事業,地域の雇用を支えるため、新しい事業を立ち上げることになった。,지역 고용을 지탱하기 위해 새로운 사업을 시작하게 되었다.,pd_guided:青空文庫:こころ:夏目漱石
互い,互いの立場を理解しなければ、合意に達するのは難しい。,서로의 입장을 이해하지 않으면 합의에 이르기 어렵다.,pd_guided:青空文庫:走れメロス:太宰治
些細な,些細な誤解が、後に大きな対立へ発展することもある。,사소한 오해가 나중에 큰 대립으로 발전하기도 한다.,pd_guided:青空文庫:こころ:夏目漱石
交互,二つの班が交互に作業を行い、負担が偏らないようにした。,두 조가 교대로 작업하여 부담이 치우치지 않도록 했다.,pd_guided:青空文庫:人間失格:太宰治
交渉,粘り強い交渉の末、双方が納得できる条件に落ち着いた。,끈질긴 협상 끝에 양측이 납득할 수 있는 조건으로 정리되었다.,pd_guided:青空文庫:こころ:夏目漱石
人一倍,彼は人一倍責任感が強く、最後まで現場を離れなかった。,그는 남보다 책임감이 강해 끝까지 현장을 떠나지 않았다.,pd_guided:青空文庫:走れメロス:太宰治
人出,連休中の駅前は人出が多く、警備員が交通整理に追われていた。,연휴 중 역 앞은 인파가 많아 경비원이 교통정리에 쫓기고 있었다.,pd_guided:青空文庫:こころ:夏目漱石
人影,早朝の商店街には人影がなく、雨の音だけが響いていた。,이른 아침 상점가에는 사람 그림자가 없고 빗소리만 울렸다.,pd_guided:青空文庫:こころ:夏目漱石
