word,reading_hiragana,meaning_ko,example_jp,example_ko
焦る,あせる,초조해하다,結果を急いで焦ると、かえって判断を誤りやすい。,결과를 서둘러 초조해하면 오히려 판단을 그르치기 쉽다.
暴れる,あばれる,난동부리다,店内で暴れる客がいたため、店員は警察に連絡した。,가게 안에서 난동부리는 손님이 있어 직원은 경찰에 연락했다.
甘える,あまえる,응석부리다,周囲の好意に甘えるだけでは、自立したとは言えない。,주변의 호의에 응석부리기만 해서는 자립했다고 할 수 없다.
余る,あまる,남다,予算が余るなら、資料の整備に回したい。,예산이 남는다면 자료 정비에 돌리고 싶다.
編む,あむ,엮다,彼女は地域の証言を編む形で記録集を作った。,그녀는 지역의 증언을 엮는 형태로 기록집을 만들었다.
荒れる,あれる,거칠어지다,天候が荒れる前に、船は早めに港へ戻った。,날씨가 거칠어지기 전에 배는 일찍 항구로 돌아갔다.
慌てる,あわてる,당황하다,突然予定が変わっても、慌てる必要はない。,갑자기 일정이 바뀌어도 당황할 필요는 없다.
傷む,いたむ,상하다,保存状態が悪いと、食品はすぐに傷む。,보관 상태가 나쁘면 식품은 금방 상한다.
至る,いたる,이르다,小さな誤解が大きな対立に至ることもある。,작은 오해가 큰 대립에 이르기도 한다.
浮かぶ,うかぶ,떠오르다,説明を聞くうちに、新しい案が頭に浮かぶ。,설명을 듣는 사이 새로운 안이 머리에 떠오른다.
浮かべる,うかべる,떠올리다,彼は昔の友人の顔を浮かべるように目を閉じた。,그는 옛 친구의 얼굴을 떠올리듯 눈을 감았다.
薄れる,うすれる,옅어지다,時間がたつにつれて、当時の記憶は少しずつ薄れる。,시간이 지나면서 당시의 기억은 조금씩 옅어진다.
疑う,うたがう,의심하다,根拠もなく相手を疑うのは避けるべきだ。,근거 없이 상대를 의심하는 것은 피해야 한다.
訴える,うったえる,호소하다,住民は騒音被害を市に訴えることにした。,주민은 소음 피해를 시에 호소하기로 했다.
