word,reading_hiragana,meaning_ko
抱え込む,かかえこむ,떠안다 끌어안다
押し寄せる,おしよせる,밀려오다 몰려오다
押し込む,おしこむ,밀어 넣다 강제로 들어가다
抽象,ちゅうしょう,추상
指摘,してき,지적
採択,さいたく,채택
提供,ていきょう,제공
提携,ていけい,제휴 제휴하다
提起,ていき,제기
搭載,とうさい,탑재
摘出,てきしゅつ,적출
改革派,かいかくは,개혁파
放り込む,ほうりこむ,던져 넣다
明瞭な,めいりょうな,명료한
暗殺,あんさつ,암살
最先端,さいせんたん,최첨단
最大級,さいだいきゅう,최대급
最年少,さいねんしょう,최연소
最年長,さいねんちょう,최연장
最高値,さいたかね,최고가
最高潮,さいこうちょう,최고조
有識者,ゆうしきしゃ,유식자 전문가
期間内,きかんない,기간 내
未練,みれん,미련
本分,ほんぶん,본분
本場,ほんば,본고장 본장
本性,ほんしょう,본성
本格,ほんかく,본격
本音,ほんね,본심 속마음
本領,ほんりょう,본령 진가
柔軟性,じゅうなんせい,유연성
根拠,こんきょ,근거
棄権,きけん,기권
模型,もけい,모형
権力,けんりょく,권력
権威,けんい,권위
機能,きのう,기능
機関誌,きかんし,기관지
欲深い,よくぶかい,욕심이 많다
正夢,まさゆめ,현실이 된 꿈
歴史上,れきしじょう,역사상
気まぐれな,きまぐれな,변덕스러운
気品,きひん,기품
気象,きしょう,기상
汚らわしい,けがらわしい,더럽다 불결하다
決勝,けっしょう,결승
浅ましい,あさましい,비열하다 한심하다
清らかな,きよらかな,맑고 깨끗한
渋い,しぶい,떫다 수수하다
渋滞,じゅうたい,정체
減少,げんしょう,감소
満足感,まんぞくかん,만족감
滑らかな,なめらかな,매끄러운
滑稽な,こっけいな,우스꽝스러운
演出家,えんしゅつか,연출가
演技派,えんぎは,연기파
無免許,むめんきょ,무면허
無制限,むせいげん,무제한
無断,むだん,무단
無条件,むじょうけん,무조건
無添加,むてんか,무첨가
無神経,むしんけい,무신경
無記名,むきめい,무기명
無論,むろん,물론
無責任,むせきにん,무책임
無関心,むかんしん,무관심
物好きな,ものずきな,호기심 많은 별난
物足りない,ものたりない,부족하다 아쉽다
特性,とくせい,특성
特技,とくぎ,특기
特設,とくせつ,특설
特許権,とっきょけん,특허권
独裁,どくさい,독재
生中継,なまちゅうけい,생중계
生態系,せいたいけい,생태계
生易しい,なまやさしい,쉬운 안이한
生活費,せいかつひ,생활비
生温い,なまぬるい,미지근하다 어중간하다
生真面目な,きまじめな,고지식한 지나치게 성실한
生育,せいいく,생육
生臭い,なまぐさい,비린내가 나다 속세적이다
疲れ果てる,つかれはてる,완전히 지치다
盛り上がる,もりあがる,고조되다 부풀어 오르다
相場,そうば,시세
相応,そうおう,상응
看護師,かんごし,간호사
真犯人,しんはんにん,진범
真相,しんそう,진상
眠たい,ねむたい,졸리다
破産,はさん,파산
確保,かくほ,확보
確信,かくしん,확신
神経系,しんけいけい,신경계
秘密裏,ひみつり,비밀리에
穏やかな,おだやかな,온화한 평온한
立ち去る,たちさる,떠나다
立ち寄る,たちよる,들르다
立て替える,たてかえる,대신 지불하다
立案,りつあん,입안
立腹,りっぷく,화남
