word,reading_hiragana,old_meaning_ko,new_meaning_ko
あっさり,あっさり,담백하게 산뜻하게,담백하게
ありありと,ありありと,또렷하게 생생하게,또렷하게
いい加減な,いいかげんな,무책임한 대충인 적당한,무책임한
いやいや,いやいや,마지못해 싫어하며,마지못해
いやらしい,いやらしい,불쾌하다 추잡하다,불쾌하다
うっとうしい,うっとうしい,답답하다 성가시다,답답하다
うっとり,うっとり,황홀하게 넋을 잃고,황홀하게
おっかない,おっかない,무섭다 두렵다,무섭다
おろそかな,おろそかな,소홀한 등한한,소홀한
かねがね,かねがね,평소부터 전부터,평소부터
がっくり,がっくり,맥없이 실망하여,맥없이
がっしり,がっしり,튼튼하게 단단하게,튼튼하게
がっちり,がっちり,빈틈없이 단단히,빈틈없이
きっかり,きっかり,정확히 딱,정확히
きっぱり,きっぱり,단호하게 딱 잘라,단호하게
きまり悪い,きまりわるい,어색하다 겸연쩍다,어색하다
きらびやかな,きらびやかな,화려한 눈부신,화려한
くすぐったい,くすぐったい,간지럽다 쑥스럽다,간지럽다
くっきり,くっきり,뚜렷하게 선명하게,뚜렷하게
くよくよ,くよくよ,끙끙 걱정하며,끙끙
げっそり,げっそり,기운이 빠져 수척하게,수척하게
こうこうと,こうこうと,환하게 밝게,환하게
こころよい,こころよい,상쾌하다 기분 좋다,상쾌하다
こっそり,こっそり,몰래 슬그머니,몰래
しとやかな,しとやかな,얌전하고 우아한,얌전한
しなやかな,しなやかな,유연한 나긋한,유연한
しんなり,しんなり,축 늘어진 부드럽게,축 늘어진
じっくり,じっくり,차분히 꼼꼼히,차분히
じめじめ,じめじめ,축축하게 음습하게,축축하게
すばしこい,すばしこい,날쌔다 재빠르다,날쌔다
すんなり,すんなり,순조롭게 날씬하게,순조롭게
ずばり,ずばり,정확히 단도직입적으로,정확히
ずるずる,ずるずる,질질 끌며 미루며,질질
せかせかと,せかせかと,조급하게 부산스럽게,조급하게
たやすい,たやすい,쉽다 용이하다,쉽다
だぶだぶ,だぶだぶ,헐렁헐렁 출렁출렁,헐렁헐렁
ちやほや,ちやほや,떠받들며 비위를 맞춤,떠받듦
ちょくちょく,ちょくちょく,자주 종종,자주
つくづく,つくづく,절실히 곰곰이,절실히
