word,reading_hiragana,meaning_ko,example_jp,example_ko
仰ぐ,あおぐ,우러르다,彼は恩師を仰ぐ気持ちを今も忘れない。,그는 은사를 우러르는 마음을 지금도 잊지 않는다.
呆れる,あきれる,어이없어하다,彼の無責任な発言に周囲は呆れるしかなかった。,그의 무책임한 발언에 주변은 어이없어할 수밖에 없었다.
飽きる,あきる,질리다,同じ作業に飽きる前に方法を変えた。,같은 작업에 질리기 전에 방법을 바꾸었다.
味わう,あじわう,맛보다,失敗を通じて責任の重さを味わうことになった。,실패를 통해 책임의 무게를 맛보게 되었다.
預かる,あずかる,맡다,代表として重要な資料を預かることになった。,대표로서 중요한 자료를 맡게 되었다.
預ける,あずける,맡기다,必要な書類を受付に預けるよう指示された。,필요한 서류를 접수처에 맡기라는 지시를 받았다.
扱う,あつかう,다루다,この問題は慎重に扱う必要がある。,이 문제는 신중하게 다룰 필요가 있다.
誤る,あやまる,잘못하다,判断を誤ると大きな損失につながる。,판단을 잘못하면 큰 손실로 이어진다.
歩む,あゆむ,나아가다,彼女は研究者として着実に歩む道を選んだ。,그녀는 연구자로서 착실히 나아가는 길을 택했다.
言い換える,いいかえる,바꿔 말하다,難しい表現を学生向けに言い換える。,어려운 표현을 학생용으로 바꿔 말한다.
言い返す,いいかえす,말대꾸하다,彼は上司に言い返すことなく黙って聞いた。,그는 상사에게 말대꾸하지 않고 조용히 들었다.
言い切る,いいきる,단언하다,彼女は計画が成功すると言い切るだけの根拠を示した。,그녀는 계획이 성공한다고 단언할 만한 근거를 제시했다.
生かす,いかす,살리다,過去の経験を新しい仕事に生かす。,과거의 경험을 새 일에 살린다.
生き残る,いきのこる,살아남다,厳しい競争の中で生き残るには工夫が必要だ。,치열한 경쟁 속에서 살아남으려면 궁리가 필요하다.
憩う,いこう,쉬다,昼休みには近くの公園で憩う人が多い。,점심시간에는 근처 공원에서 쉬는 사람이 많다.
抱く,いだく,품다,彼は将来への不安を抱くようになった。,그는 장래에 대한 불안을 품게 되었다.
祈る,いのる,기도하다,家族の無事を祈る気持ちで連絡を待った。,가족의 무사를 기도하는 마음으로 연락을 기다렸다.
受け入れる,うけいれる,받아들이다,批判を受け入れる姿勢が成長につながる。,비판을 받아들이는 자세가 성장으로 이어진다.
受け付ける,うけつける,접수하다,窓口では申請を午後五時まで受け付ける。,창구에서는 신청을 오후 다섯 시까지 접수한다.
薄める,うすめる,묽게 하다,強い表現を少し薄めると読みやすくなる。,강한 표현을 조금 누그러뜨리면 읽기 쉬워진다.
打ち消す,うちけす,부정하다,彼は報道内容をすぐに打ち消す声明を出した。,그는 보도 내용을 곧바로 부정하는 성명을 냈다.
打ち出す,うちだす,내세우다,政府は新しい支援策を打ち出す方針だ。,정부는 새로운 지원책을 내세울 방침이다.
打ち解ける,うちとける,허물없어지다,何度か話すうちに二人は打ち解けるようになった。,몇 번 이야기하는 사이에 두 사람은 허물없어졌다.
移る,うつる,옮겨가다,関心は次第に別の課題へ移る。,관심은 점차 다른 과제로 옮겨간다.
映る,うつる,비치다,夕日が窓ガラスに映る。,석양이 창문 유리에 비친다.
生む,うむ,낳다,小さな工夫が大きな成果を生むこともある。,작은 궁리가 큰 성과를 낳기도 한다.
潤す,うるおす,촉촉하게 하다,雨は乾いた大地を潤す恵みとなった。,비는 마른 대지를 적시는 은혜가 되었다.
追い込む,おいこむ,몰아넣다,無理な計画は担当者を追い込む結果になった。,무리한 계획은 담당자를 궁지로 몰아넣는 결과가 되었다.
追い詰める,おいつめる,몰아붙이다,相手を追い詰める言い方は避けるべきだ。,상대를 몰아붙이는 말투는 피해야 한다.
追い求める,おいもとめる,추구하다,彼は理想の教育を追い求める姿勢を貫いた。,그는 이상적인 교육을 추구하는 자세를 관철했다.
及ぶ,およぶ,미치다,影響は国内だけでなく海外にも及ぶ。,영향은 국내뿐 아니라 해외에도 미친다.
折り返す,おりかえす,되돌리다,担当者から折り返す連絡があるはずだ。,담당자에게서 되돌려 연락이 올 것이다.
折れる,おれる,꺾이다,強い風で細い枝が折れる。,강한 바람에 가는 가지가 꺾인다.
顧みる,かえりみる,돌아보다,過去の失敗を顧みることで次の判断が変わる。,과거의 실패를 돌아봄으로써 다음 판단이 달라진다.
掻き回す,かきまわす,휘젓다,根拠のない噂が職場を掻き回す。,근거 없는 소문이 직장을 뒤흔든다.
欠ける,かける,빠지다,説明には重要な視点が欠ける。,설명에는 중요한 관점이 빠져 있다.
駆ける,かける,달리다,少年は駅まで一気に駆ける。,소년은 역까지 단숨에 달린다.
傾げる,かしげる,갸웃하다,彼女は説明を聞いて首を傾げる。,그녀는 설명을 듣고 고개를 갸웃한다.
固まる,かたまる,굳어지다,話し合いの末に方針が固まる。,논의 끝에 방침이 굳어진다.
固める,かためる,굳히다,証拠を固めるまで発表は控えた。,증거를 굳힐 때까지 발표는 삼갔다.
食い込む,くいこむ,파고들다,新しい企業が市場に食い込む。,새 기업이 시장에 파고든다.
崩す,くずす,무너뜨리다,無理をすると体調を崩す恐れがある。,무리하면 컨디션을 해칠 우려가 있다.
砕ける,くだける,부서지다,強い衝撃でガラスが砕ける。,강한 충격으로 유리가 부서진다.
配る,くばる,나누다,資料を参加者全員に配る。,자료를 참가자 전원에게 나누어 준다.
加える,くわえる,더하다,報告書に新しい資料を加える。,보고서에 새 자료를 더한다.
拒む,こばむ,거부하다,彼は詳しい説明を拒む理由を明かさなかった。,그는 자세한 설명을 거부하는 이유를 밝히지 않았다.
込める,こめる,담다,感謝の気持ちを込める手紙を書いた。,감사의 마음을 담은 편지를 썼다.
栄える,さかえる,번영하다,港を中心に町が栄えるようになった。,항구를 중심으로 마을이 번영하게 되었다.
差し掛かる,さしかかる,접어들다,議論が核心に差し掛かると会場は静まった。,논의가 핵심에 접어들자 회장은 조용해졌다.
差し控える,さしひかえる,삼가다,正式発表までは発言を差し控える。,공식 발표 전까지는 발언을 삼간다.
