word,example_jp,example_ko,source
ぶかぶか,資料では「ぶかぶか」という表現が、場面の状態や程度を示す語として使われている。,자료에서는 'ぶかぶか'라는 표현이 상황의 상태나 정도를 나타내는 말로 쓰이고 있다.,generated_n1_auto_complete_20260601
ぺこぺこ,資料では「ぺこぺこ」という表現が、場面の状態や程度を示す語として使われている。,자료에서는 'ぺこぺこ'라는 표현이 상황의 상태나 정도를 나타내는 말로 쓰이고 있다.,generated_n1_auto_complete_20260601
ぼつぼつ,資料では「ぼつぼつ」という表現が、場面の状態や程度を示す語として使われている。,자료에서는 'ぼつぼつ'라는 표현이 상황의 상태나 정도를 나타내는 말로 쓰이고 있다.,generated_n1_auto_complete_20260601
まちまち,資料では「まちまち」という表現が、場面の状態や程度を示す語として使われている。,자료에서는 'まちまち'라는 표현이 상황의 상태나 정도를 나타내는 말로 쓰이고 있다.,generated_n1_auto_complete_20260601
まるまる,資料では「まるまる」という表現が、場面の状態や程度を示す語として使われている。,자료에서는 'まるまる'라는 표현이 상황의 상태나 정도를 나타내는 말로 쓰이고 있다.,generated_n1_auto_complete_20260601
まん丸い,状況がまん丸い場合でも、感情に流されず冷静に判断しなければならない。,상황이 동그랗다 완전히 둥글다 경우에도 감정에 휩쓸리지 말고 냉정하게 판단해야 한다.,generated_n1_auto_complete_20260601
めきめき,資料では「めきめき」という表現が、場面の状態や程度を示す語として使われている。,자료에서는 'めきめき'라는 표현이 상황의 상태나 정도를 나타내는 말로 쓰이고 있다.,generated_n1_auto_complete_20260601
やまやま,資料では「やまやま」という表現が、場面の状態や程度を示す語として使われている。,자료에서는 'やまやま'라는 표현이 상황의 상태나 정도를 나타내는 말로 쓰이고 있다.,generated_n1_auto_complete_20260601
やり通す,状況によっては、早めにやり通す判断も必要になる。,상황에 따라서는 일찍 끝까지 해내다 판단도 필요해진다.,generated_n1_auto_complete_20260601
やり遂げる,状況によっては、早めにやり遂げる判断も必要になる。,상황에 따라서는 일찍 완수하다 해내다 판단도 필요해진다.,generated_n1_auto_complete_20260601
やんわり,資料では「やんわり」という表現が、場面の状態や程度を示す語として使われている。,자료에서는 'やんわり'라는 표현이 상황의 상태나 정도를 나타내는 말로 쓰이고 있다.,generated_n1_auto_complete_20260601
アクセス権,この問題を理解するには、アクセス権という観点から考えることが重要だ。,이 문제를 이해하려면 접근 권한이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
リズム感,この問題を理解するには、リズム感という観点から考えることが重要だ。,이 문제를 이해하려면 리듬감이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
一任,この問題を理解するには、一任という観点から考えることが重要だ。,이 문제를 이해하려면 일임이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
一帯,この問題を理解するには、一帯という観点から考えることが重要だ。,이 문제를 이해하려면 일대이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
一律に,彼は周囲の反応を確かめながら、一律に行動した。,그는 주변 반응을 확인하면서 일률적으로 행동했다.,generated_n1_auto_complete_20260601
