word,reading_hiragana,meaning_ko,pos
あえて,あえて,굳이,adverb
あくまで,あくまで,끝까지,adverb
あながち,あながち,반드시,adverb
あらかじめ,あらかじめ,미리,adverb
いかにも,いかにも,정말로,adverb
いかに,いかに,얼마나,adverb
いきなり,いきなり,갑자기,adverb
いっそ,いっそ,차라리,adverb
いったん,いったん,일단,adverb
いまだに,いまだに,아직도,adverb
いやに,いやに,유난히,adverb
おおむね,おおむね,대체로,adverb
おそらく,おそらく,아마,adverb
おのずと,おのずと,저절로,adverb
およそ,およそ,대략,adverb
かえって,かえって,오히려,adverb
かつて,かつて,일찍이,adverb
かろうじて,かろうじて,가까스로,adverb
きっぱり,きっぱり,딱 잘라,adverb
ごく,ごく,극히,adverb
ことごとく,ことごとく,모조리,adverb
さぞ,さぞ,틀림없이,adverb
さほど,さほど,그다지,adverb
さも,さも,정말인 듯,adverb
しいて,しいて,굳이,adverb
しきりに,しきりに,자꾸,adverb
じっくり,じっくり,차분히,adverb
すかさず,すかさず,곧바로,adverb
すこぶる,すこぶる,매우,adverb
すでに,すでに,이미,adverb
すなわち,すなわち,즉,adverb
すみやかに,すみやかに,신속히,adverb
せいぜい,せいぜい,기껏해야,adverb
せっせと,せっせと,부지런히,adverb
せめて,せめて,적어도,adverb
そうそう,そうそう,그렇게 쉽게,adverb
そっと,そっと,살짝,adverb
そろそろ,そろそろ,슬슬,adverb
たちまち,たちまち,순식간에,adverb
たまたま,たまたま,우연히,adverb
つくづく,つくづく,절실히,adverb
つとめて,つとめて,되도록,adverb
とかく,とかく,아무래도,adverb
とっさに,とっさに,순간적으로,adverb
とりあえず,とりあえず,우선,adverb
とりわけ,とりわけ,특히,adverb
どうか,どうか,부디,adverb
どうせ,どうせ,어차피,adverb
どうにか,どうにか,그럭저럭,adverb
どっと,どっと,한꺼번에,adverb
ともかく,ともかく,어쨌든,adverb
なお,なお,여전히,adverb
なおさら,なおさら,더욱더,adverb
なにしろ,なにしろ,아무튼,adverb
なまじ,なまじ,어설프게,adverb
なんとか,なんとか,어떻게든,adverb
なんとなく,なんとなく,왠지,adverb
にわかに,にわかに,갑자기,adverb
はたして,はたして,과연,adverb
はるかに,はるかに,훨씬,adverb
ひいては,ひいては,나아가서는,adverb
ひたすら,ひたすら,오로지,adverb
ひとまず,ひとまず,일단,adverb
ひょっとすると,ひょっとすると,어쩌면,adverb
ふいに,ふいに,갑자기,adverb
ふと,ふと,문득,adverb
まして,まして,하물며,adverb
まさしく,まさしく,바로,adverb
まるごと,まるごと,통째로,adverb
むしろ,むしろ,오히려,adverb
むやみに,むやみに,함부로,adverb
めっきり,めっきり,부쩍,adverb
もっぱら,もっぱら,오로지,adverb
もはや,もはや,이미,adverb
もともと,もともと,원래,adverb
やけに,やけに,유난히,adverb
やたらに,やたらに,마구,adverb
やむなく,やむなく,어쩔 수 없이,adverb
ようやく,ようやく,겨우,adverb
よほど,よほど,상당히,adverb
ろくに,ろくに,제대로,adverb
わざと,わざと,일부러,adverb
わざわざ,わざわざ,일부러,adverb
案外,あんがい,의외로,adverb
一応,いちおう,일단,adverb
一概に,いちがいに,일률적으로,adverb
一向に,いっこうに,전혀,adverb
一層,いっそう,한층,adverb
一見,いっけん,언뜻,adverb
今更,いまさら,새삼,adverb
今にも,いまにも,금방이라도,adverb
意外と,いがいと,의외로,adverb
大いに,おおいに,크게,adverb
大幅に,おおはばに,대폭,adverb
改めて,あらためて,다시,adverb
必ずしも,かならずしも,반드시,adverb
極めて,きわめて,극히,adverb
極力,きょくりょく,최대한,adverb
現に,げんに,실제로,adverb
更に,さらに,더욱,adverb
次第に,しだいに,점차,adverb
徐々に,じょじょに,서서히,adverb
随分,ずいぶん,꽤,adverb
絶えず,たえず,끊임없이,adverb
多少,たしょう,다소,adverb
直ちに,ただちに,즉시,adverb
単に,たんに,단지,adverb
断然,だんぜん,단연,adverb
到底,とうてい,도저히,adverb
密かに,ひそかに,은밀히,adverb
